Ref. Política de Segurança da Informação para Terceiros,ID,DOMÍNIO,QUESTÃO,STATUS,CRITICIDADE DO CONTROLE,INFORMAÇÂO ADICIONAL REQUERIDA,COMENTARIOS DO AVALIADO EVIDENCIANDO OU EXPLICANDO,PONTOS,RECOMENDAÇÕES,Responsavel_IP,Email_Interno
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,16,Gestão de Vulnerabilidades e Proteção,"Para suporte remoto, a empresa, está coletando o consentimento dos usuários e os mesmos conseguem perceber quando o controle remoto está em andamento?",IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,17,Gestão de Vulnerabilidades e Proteção,"A empresa avalia o uso de ferramenta em nuvem, de backup ou sincronização fazendo uma análise aprofundada de seus termos de uso e de suas garantias de segurança? (Google Drive, One Drive, etc)",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,18,Gestão de Vulnerabilidades e Proteção,"A empresa implementa medidas de proteção contra roubo, incluíndo: marcação visível de identificação do equipamento, bloqueio automático, criptografia de discos de armazenamento, proteção da BIOS e para os dispositivos fixos, cabo de segurança?",IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que seja implementado controles como criptografia de BIOS.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,19,Gestão de Vulnerabilidades e Proteção,"Para garantir a integridade dos dados, a empresa usa algoritmos reconhecidos e seguros, tais como:
- SHA-256, SHA-512 ou SHA-341 como uma função hash;
- HMAC usando SHA-256, bcrypt, script ou PBKDF2 para armazenar senhas;
- AES ou AES-CBC para criptografia simétrica;
- RSA-OAEP conforme definido no PKCS # 1 v2.1 para criptografia assimétrica;
- finalmente, para assinaturas, RSA-SSA-PSS, conforme especificado no PKCS # 1 v2.1.",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,20,Gestão de Vulnerabilidades e Proteção,"A empresa usa tamanhos de chave apropriados conforme padrão recomendado pelo mercado para os algoritmos utilizado? Exemplo RSA com chaves de 2048bits, 3072bits e 4096bits?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,21,Gestão de Vulnerabilidades e Proteção,"A empresa utiliza uma solução de gerenciamento de segredos, como um Key Vault, para criar, armazenar, controlar o acesso e destruir chaves secretas de forma segura, garantindo que elas estejam protegidas com direitos de acesso restritivos e senhas fortes?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,22,Gestão de Vulnerabilidades e Proteção,"A empresa possui controle para desativar uso de SSL e TLS em versões não seguras ou obsoletas, como SSLv3, TLS 1.0 e 1.1?  Ideal é ter certificado TLS 1.2 ou 1.3",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,"É recomendável que sejam habilitados certificados seguros e atualizados de autenticação, como TLS 1.3.",127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,23,Gestão de Vulnerabilidades e Proteção,A empresa garante que comunicação incluíndo dados de autenticação em texto são transferidos em conexão criptografada em suas aplicações publicadas na internet?,NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,24,Gestão de Vulnerabilidades e Proteção,Existe limitação de portas de comunicação às estritamente necessárias para o bom funcionamento dos aplicativos instalados? Portas de administração (como 22 e 3389) devem ser permitidas apenas a partir de redes seguras e autorizadas (como o ambiente de gestão de acessos privilegiados),IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,25,Gestão de Vulnerabilidades e Proteção,"A empresa limita o tráfego de rede ao essencial filtrando o tráfego de saída nos equipamentos. Por exemplo, se um servidor 443/HTTPS para determinados destinos, aplicar regras para permitir apenas o escopo necessário.",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,26,Gestão de Vulnerabilidades e Proteção,"Quando transferindo volumes de dados fora de sua infraestrutura de comunicações, a empresa garante confidencialidade e autenticação usando canais seguros (SFTP, HTTPS, IPSEC, API REST ou SOAP etc)?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,27,Gestão de Vulnerabilidades e Proteção,"A empresa conta com uma rede segmentada entre ambientes (produção, homologação e desenvolvimento) com uso de firewall controlando o acesso entre eles?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.3 - Ref. Política de Segurança da Informação para Terceiros,28,Gestão de Vulnerabilidades e Proteção,"A empresa conta com uma rede segmentada entre equipamentos de redes, banco de dados, backup, servidores e estações de trabalho com uso de firewall controlando o acesso entre eles?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,1,Monitoramento e Incidentes,A empresa possui um processo de Monitoramento e Gestão de Incidentes formalizado?,IMPLEMENTADO,MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,2,Monitoramento e Incidentes,A empresa possui uma ferramenta de monitoramento de capacidade dos seus ativos? (NOC),NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,3,Monitoramento e Incidentes,A empresa possui ferramenta para gerenciamento e correlação de eventos de segurança? (SIEM),NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,4,Monitoramento e Incidentes,A empresa possui uma ferramenta de gestão de tickets de segurança?,NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que os tickes de incidentes de segurança sejam gerenciados ponta a ponta por uma ferramenta.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,5,Monitoramento e Incidentes,"A empresa conta com um processo formalizado e em vigor de Resposta a Incidentes que abre tickets automaticamente com base em identificação de anomalia ou incidente de segurança, para que seja rapidamente detectado e controlado?",IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",20,É recomendável que seja integrada uma ferramenta de gerenciamento de tickets de segurança à solução de monitoramento SIEM.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,6,Monitoramento e Incidentes,A empresa possui runbooks para a tratativa dos incidentes?,IMPLEMENTADO,BAIXA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",20,É recomendável que sejam desenvolvidos runbooks para resposta automática à incidentes e/ou procedimento para incidentes recorrentes para a tratativa pelo analista.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,7,Monitoramento e Incidentes,A empresa revisa periodicamente seus incidentes e resoluções a fim de se criar uma base de lições aprendidas e melhorar seus use cases?,IMPLEMENTADO,BAIXA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,8,Monitoramento e Incidentes,"A empresa é capaz de enviar relatórios periódicos contendo a quantidade de incidentes dos últimos 12 meses, por exemplo, classificando-os por sua criticidade?",NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,9,Monitoramento e Incidentes,A empresa possui definição do que é um incidente relevante?,NÃO IMPLEMENTADO,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,10,Monitoramento e Incidentes,A empresa possui um processo para informar o Grupo XP sobre eventuais limitações que possam afetar a prestação dos serviços ou o cumprimento da legislação e da regulamentação em vigor?,NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Falta orçamento aprovado para aquisição desta ferramenta.,0,É recomendável que seja estruturado um processo de comunicação à XP em casos de incidentes relevantes que afetem a prestação do serviço.,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,11,Monitoramento e Incidentes,"A empresa ativa os registros/trilhas de auditoria, para seus ativos, incluíndo servidores, banco de dados, serviços e aplicativos e estações?",NÃO IMPLEMENTADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.4 - Ref. Política de Segurança da Informação para Terceiros,12,Monitoramento e Incidentes,A empresa possui um processo de Gestão Mudanças  formalizado?,NÃO IMPLEMENTADO,ALTA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,Processo ainda em fase de desenho pela equipe de Governança.,0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.5 - Ref. Política de Segurança da Informação para Terceiros,1,Segurança em Desenvolvimento de Sistemas,A empresa possui uma política/norma/procedimento formalizada de Desenvolvimento Seguro?,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (CASO SE APLIQUE, MENCIONE AS FERRAMENTAS UTILIZADAS)",MÉDIA,PRINT DA POLÍTICA/NORMA/PROCEDIMENTO PUBLICADA,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.5 - Ref. Política de Segurança da Informação para Terceiros,2,Segurança em Desenvolvimento de Sistemas,Desenvolvedores são treinados periodicamente para evitar vulnerabilidades no código?,EXPLIQUE O TIPO DE TREINAMENTOS,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",10,"É recomendável que seja desenvolvido um processo de desenvolvimento que inclua privacidade deste o seu planejamento inicial, como o Privacy by Design.",127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.5 - Ref. Política de Segurança da Informação para Terceiros,3,Segurança em Desenvolvimento de Sistemas,São definidos requisitos de segurança para os desenvolvedores para que tenham um padrão a seguir no desenvolvimento de novas aplicações?,INFORMAR A BASE LEGAL,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",0,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.5 - Ref. Política de Segurança da Informação para Terceiros,4,Segurança em Desenvolvimento de Sistemas,"A empresa integra a privacidade incluindo seus requisitos de segurança, desde a etapa do desenho dos aplicativos ou serviços? (Privacy and Security by Design)",INFORMAR A FINALIDADE PARA CARA DADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",20,É recomendável que,127.0.0.1,anonimo@empresa-ficticia.com.br
6.2.5 - Ref. Política de Segurança da Informação para Terceiros,5,Segurança em Desenvolvimento de Sistemas,"A empresa gerencia e realiza revisões de código adequadamente em seus desenvolvimentos, garantindo planos de ação adequados para remediação de vulnerabilidade em sistemas?",INFORMAR NA TABELA AO LADO,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc,",10,É recomendável que a empresa adquira uma ferramenta que valide a segurança e qualidade do código contra os principais ataques do OWASP TOP 10.,127.0.0.1,anonimo@empresa-ficticia.com.br
